KA,ÃûÒå¹¦ÂÊ(kW),Ð¡ÂÖ×ªËÙ(r/min),´øÐÍ,»ù×¼¿í¶ÈBd,Hamin,Hfmin,²Û¼ä¾àe,Fmin,¦Ämin,Öá¿×¾¶d
1.2,7,960,B,14 / 14,3.5 / 3.5,10.8 / 10.8,19 / 19,11.5 / 11.5,7.5 / 7.5,32 / 32,

Ð¡ÂÖ/´óÂÖÖ±¾¶, ´«¶¯±È, ´ø»ù×¼³¤¶È, ÖÐÐÄ¾Ø, Ð¡ÂÖ°ü½Ç(¡ã), ´øËÙ(m/s), ´øµÄ¸ùÊý,½¨Òé´øÂÖ½á¹¹,²ÛÂÖ½Ç¦Õ(¡ã),×îÐ¡´øÂÖ¿íB,ÂÖì±¿í¶ÈL,×îÐ¡Íâ¾¶da,ÂÖì±Ö±¾¶d1,ÂÖÔµÄÚ¾¶D1,¸¹°åºñ¶ÈC',Ô¤¹ÀÃ«Å÷ÖÊÁ¿(Kg)
125 / 355,2.84,1560,383.329,145.622,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,1560,385.422,145.809,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,1560,387.113,145.958,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,1760,488.508,153.024,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,1760,489.677,153.088,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,1760,490.672,153.143,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,1950,586.529,157.532,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,1950,587.274,157.561,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,2180,702.929,161.253,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,2180,703.508,161.268,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,2300,764.025,162.752,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,2300,764.488,162.762,6.28319,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,132 / 362,64 / 64,88.4 / 318.4,14~25 / 14~25,7.21 / 19.3
125 / 355,2.84,2500,864.905,164.764,6.28319,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,132 / 362,64 / 64,88.4 / 318.4,11~20 / 11~20,6.06 / 15.8
125 / 355,2.84,2500,865.284,164.77,6.28319,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,132 / 362,64 / 64,88.4 / 318.4,11~20 / 11~20,6.06 / 15.8
125 / 355,2.84,2500,865.629,164.776,6.28319,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,132 / 362,64 / 64,88.4 / 318.4,11~20 / 11~20,6.06 / 15.8
125 / 355,2.84,2700,965.944,166.357,6.28319,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,132 / 362,64 / 64,88.4 / 318.4,11~20 / 11~20,6.06 / 15.8
132 / 400,3.0303,1560,338.06,134.578,6.63504,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,139 / 407,64 / 64,95.4 / 363.4,14~25 / 14~25,7.62 / 21.7
132 / 400,3.0303,1760,440.398,145.133,6.63504,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,139 / 407,64 / 64,95.4 / 363.4,14~25 / 14~25,7.62 / 21.7
132 / 400,3.0303,1760,442.323,145.285,6.63504,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,139 / 407,64 / 64,95.4 / 363.4,14~25 / 14~25,7.62 / 21.7
132 / 400,3.0303,1950,538.935,151.508,6.63504,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,139 / 407,64 / 64,95.4 / 363.4,14~25 / 14~25,7.62 / 21.7
132 / 400,3.0303,1950,540.305,151.58,6.63504,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,139 / 407,64 / 64,95.4 / 363.4,14~25 / 14~25,7.62 / 21.7
132 / 400,3.0303,1950,541.483,151.642,6.63504,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,139 / 407,64 / 64,95.4 / 363.4,14~25 / 14~25,7.62 / 21.7
132 / 400,3.0303,2180,657.508,156.646,6.63504,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,139 / 407,64 / 64,95.4 / 363.4,14~25 / 14~25,7.62 / 21.7
132 / 400,3.0303,2180,658.407,156.678,6.63504,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,139 / 407,64 / 64,95.4 / 363.4,14~25 / 14~25,7.62 / 21.7
132 / 400,3.0303,2300,719.202,158.65,6.63504,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,139 / 407,64 / 64,95.4 / 363.4,14~25 / 14~25,7.62 / 21.7
132 / 400,3.0303,2300,719.91,158.671,6.63504,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,139 / 407,64 / 64,95.4 / 363.4,14~25 / 14~25,7.62 / 21.7
132 / 400,3.0303,2500,820.545,161.286,6.63504,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,139 / 407,64 / 64,95.4 / 363.4,14~25 / 14~25,7.62 / 21.7
132 / 400,3.0303,2500,821.117,161.3,6.63504,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,139 / 407,64 / 64,95.4 / 363.4,14~25 / 14~25,7.62 / 21.7
132 / 400,3.0303,2500,821.636,161.311,6.63504,5,¸¹°å / ÂÖ·ø,34 / 38,99 / 99,64 / 64,139 / 407,64 / 64,95.4 / 363.4,14~25 / 14~25,7.62 / 21.7
132 / 400,3.0303,2700,922.108,163.348,6.63504,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,139 / 407,64 / 64,95.4 / 363.4,11~20 / 11~20,6.39 / 17.8
132 / 400,3.0303,2700,922.539,163.355,6.63504,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,139 / 407,64 / 64,95.4 / 363.4,11~20 / 11~20,6.39 / 17.8
132 / 400,3.0303,2870,1007.94,164.766,6.63504,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,139 / 407,64 / 64,95.4 / 363.4,11~20 / 11~20,6.39 / 17.8
132 / 400,3.0303,2870,1008.3,164.771,6.63504,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,139 / 407,64 / 64,95.4 / 363.4,11~20 / 11~20,6.39 / 17.8
132 / 400,3.0303,2870,1008.64,164.776,6.63504,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,139 / 407,64 / 64,95.4 / 363.4,11~20 / 11~20,6.39 / 17.8
140 / 400,2.85714,1560,333.53,135.336,7.03717,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,147 / 407,64 / 64,103.4 / 363.4,11~20 / 11~20,6.78 / 17.8
140 / 400,2.85714,1760,435.67,145.807,7.03717,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,147 / 407,64 / 64,103.4 / 363.4,11~20 / 11~20,6.78 / 17.8
140 / 400,2.85714,1760,437.435,145.945,7.03717,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,147 / 407,64 / 64,103.4 / 363.4,11~20 / 11~20,6.78 / 17.8
140 / 400,2.85714,1950,533.917,152.099,7.03717,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,147 / 407,64 / 64,103.4 / 363.4,11~20 / 11~20,6.78 / 17.8
140 / 400,2.85714,1950,535.179,152.165,7.03717,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,147 / 407,64 / 64,103.4 / 363.4,11~20 / 11~20,6.78 / 17.8
140 / 400,2.85714,1950,536.266,152.221,7.03717,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,147 / 407,64 / 64,103.4 / 363.4,11~20 / 11~20,6.78 / 17.8
140 / 400,2.85714,2180,652.212,157.159,7.03717,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,147 / 407,64 / 64,103.4 / 363.4,11~20 / 11~20,6.78 / 17.8
140 / 400,2.85714,2180,653.043,157.188,7.03717,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,147 / 407,64 / 64,103.4 / 363.4,11~20 / 11~20,6.78 / 17.8
140 / 400,2.85714,2300,713.779,159.13,7.03717,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,147 / 407,64 / 64,103.4 / 363.4,11~20 / 11~20,6.78 / 17.8
140 / 400,2.85714,2300,714.435,159.149,7.03717,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,147 / 407,64 / 64,103.4 / 363.4,11~20 / 11~20,6.78 / 17.8
140 / 400,2.85714,2500,815.024,161.722,7.03717,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,147 / 407,64 / 64,103.4 / 363.4,11~20 / 11~20,6.78 / 17.8
140 / 400,2.85714,2500,815.555,161.734,7.03717,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,147 / 407,64 / 64,103.4 / 363.4,11~20 / 11~20,6.78 / 17.8
140 / 400,2.85714,2500,816.037,161.745,7.03717,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,147 / 407,64 / 64,103.4 / 363.4,11~20 / 11~20,6.78 / 17.8
140 / 400,2.85714,2700,916.475,163.745,7.03717,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,147 / 407,64 / 64,103.4 / 363.4,11~20 / 11~20,6.78 / 17.8
140 / 400,2.85714,2700,916.876,163.753,7.03717,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,147 / 407,64 / 64,103.4 / 363.4,11~20 / 11~20,6.78 / 17.8
140 / 400,2.85714,2870,1002.24,165.136,7.03717,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,147 / 407,64 / 64,103.4 / 363.4,11~20 / 11~20,6.78 / 17.8
140 / 400,2.85714,2870,1002.58,165.141,7.03717,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,147 / 407,64 / 64,103.4 / 363.4,11~20 / 11~20,6.78 / 17.8
140 / 400,2.85714,2870,1002.9,165.146,7.03717,4,¸¹°å / ÂÖ·ø,34 / 38,80 / 80,64 / 64,147 / 407,64 / 64,103.4 / 363.4,11~20 / 11~20,6.78 / 17.8
150 / 450,3,1760,381.975,135,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,1950,479.305,144.138,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,1950,481.261,144.284,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,1950,482.928,144.407,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,2180,599.365,151.322,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,2180,600.616,151.381,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,2300,661.716,154.024,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,2300,662.69,154.062,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,2500,763.558,157.489,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,2500,764.338,157.512,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,2700,865.042,160.13,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,2700,865.68,160.144,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,2700,866.261,160.158,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,2870,951.793,161.941,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,2870,952.282,161.95,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,2870,952.732,161.958,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,3200,1118.15,164.627,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,3200,1118.53,164.633,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,3200,1118.89,164.638,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,3200,1119.23,164.642,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
160 / 450,2.8125,1950,471.288,144.744,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,1950,473.396,144.901,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,1950,475.172,145.032,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,2180,591.689,151.918,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,2180,592.998,151.98,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,2300,654.141,154.599,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,2300,655.146,154.638,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
